Time,geo,Value,age,sex,unit
2012,AT,8408121,TOTAL,T,NR
2012,BE,11075889,TOTAL,T,NR
2012,BG,7327224,TOTAL,T,NR
2012,HR,4275984,TOTAL,T,NR
2012,CY,862011,TOTAL,T,NR
2012,CZ,10505445,TOTAL,T,NR
2012,DK,5580516,TOTAL,T,NR
2012,EE,1325217,TOTAL,T,NR
2012,FI,5401267,TOTAL,T,NR
2012,FR,65276983,TOTAL,T,NR
2012,DE,80327900,TOTAL,T,NR
2012,EL,11086406,TOTAL,T,NR
2012,HU,9931925,TOTAL,T,NR
2012,IE,4589287,TOTAL,T,NR
2012,IT,60105185,TOTAL,T,NR
2012,LV,2044813,TOTAL,T,NR
2012,LT,3003641,TOTAL,T,NR
2012,LU,524853,TOTAL,T,NR
2012,MT,417546,TOTAL,T,NR
2012,NL,16730348,TOTAL,T,NR
2012,PL,38063792,TOTAL,T,NR
2012,PT,10558950,TOTAL,T,NR
2012,RO,20095996,TOTAL,T,NR
2012,SK,5404322,TOTAL,T,NR
2012,SI,2055496,TOTAL,T,NR
2012,ES,46818219,TOTAL,T,NR
2012,SE,9482855,TOTAL,T,NR
2013,AT,8451860,TOTAL,T,NR
2013,BE,11137974,TOTAL,T,NR
2013,BG,7202556,TOTAL,T,NR
2013,HR,4247803,TOTAL,T,NR
2013,CY,862854,TOTAL,T,NR
2013,CZ,10516125,TOTAL,T,NR
2013,DK,5602628,TOTAL,T,NR
2013,EE,1320174,TOTAL,T,NR
2013,FI,5426674,TOTAL,T,NR
2013,FR,65600350,TOTAL,T,NR
2013,DE,80523746,TOTAL,T,NR
2013,EL,11003615,TOTAL,T,NR
2013,HU,9895250,TOTAL,T,NR
2013,IE,4609779,TOTAL,T,NR
2013,IT,60277309,TOTAL,T,NR
2013,LV,2023825,TOTAL,T,NR
2013,LT,2974637,TOTAL,T,NR
2013,LU,537039,TOTAL,T,NR
2013,MT,421464,TOTAL,T,NR
2013,NL,16779575,TOTAL,T,NR
2013,PL,38062535,TOTAL,T,NR
2013,PT,10503889,TOTAL,T,NR
2013,RO,20020074,TOTAL,T,NR
2013,SK,5410836,TOTAL,T,NR
2013,SI,2058821,TOTAL,T,NR
2013,ES,46712650,TOTAL,T,NR
2013,SE,9555893,TOTAL,T,NR
2014,AT,8507786,TOTAL,T,NR
2014,BE,11180840,TOTAL,T,NR
2014,BG,7117453,TOTAL,T,NR
2014,HR,4217632,TOTAL,T,NR
2014,CY,860032,TOTAL,T,NR
2014,CZ,10512419,TOTAL,T,NR
2014,DK,5627235,TOTAL,T,NR
2014,EE,1315819,TOTAL,T,NR
2014,FI,5451270,TOTAL,T,NR
2014,FR,66165980,TOTAL,T,NR
2014,DE,80767463,TOTAL,T,NR
2014,EL,10926807,TOTAL,T,NR
