County,Carlow County Council,Carlow County Council,Carlow County Council,Cavan County Council,Cavan County Council,Cavan County Council,Clare County Council,Clare County Council,Clare County Council,Cork City Council,Cork City Council,Cork City Council,Cork County Council,Cork County Council,Cork County Council,Donegal County Council,Donegal County Council,Donegal County Council,Dublin City Council,Dublin City Council,Dublin City Council,Dún Laoghaire Rathdown County Council,Dún Laoghaire Rathdown County Council,Dún Laoghaire Rathdown County Council,Fingal County Council,Fingal County Council,Fingal County Council,Galway City Council,Galway City Council,Galway City Council,Galway County Council,Galway County Council,Galway County Council,Ireland,Ireland,Ireland,Kerry County Council,Kerry County Council,Kerry County Council,Kildare County Council,Kildare County Council,Kildare County Council,Kilkenny County Council,Kilkenny County Council,Kilkenny County Council,Laois County Council,Laois County Council,Laois County Council,Leitrim County Council,Leitrim County Council,Leitrim County Council,Limerick City & County Council,Limerick City & County Council,Limerick City & County Council,Longford County Council,Longford County Council,Longford County Council,Louth County Council,Louth County Council,Louth County Council,Mayo  County Council,Mayo  County Council,Mayo  County Council,Meath County Council,Meath County Council,Meath County Council,Monaghan County Council,Monaghan County Council,Monaghan County Council,Offaly County Council,Offaly County Council,Offaly County Council,Roscommon County Council,Roscommon County Council,Roscommon County Council,Sligo County Council,Sligo County Council,Sligo County Council,South Dublin County Council,South Dublin County Council,South Dublin County Council,Tipperary County Council,Tipperary County Council,Tipperary County Council,Waterford City & County Council,Waterford City & County Council,Waterford City & County Council,Westmeath County Council,Westmeath County Council,Westmeath County Council,Wexford County Council,Wexford County Council,Wexford County Council,Wicklow County Council,Wicklow County Council,Wicklow County Council
Sex,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,7,3,4,7,1,6,17,3,14,14,1,13,46,10,36,29,8,21,54,14,40,5,1,4,17,2,15,6,1,5,22,4,18,500,107,393,20,3,17,20,4,16,13,5,8,10,2,8,5,,5,27,9,18,6,1,5,10,2,8,14,3,11,24,8,16,5,,5,8,,8,10,,10,7,4,3,20,3,17,22,5,17,11,1,10,6,2,4,19,3,16,19,4,15
2016,9,1,8,16,5,11,15,3,12,24,7,17,47,11,36,20,3,17,54,15,39,15,4,11,24,5,19,8,3,5,18,2,16,531,102,429,22,5,17,23,4,19,11,1,10,10,1,9,4,1,3,21,4,17,6,1,5,10,1,9,13,1,12,15,1,14,12,1,11,11,1,10,8,1,7,8,,8,21,7,14,25,4,21,15,,15,13,3,10,17,2,15,16,4,12
2017,8,3,5,12,2,10,20,2,18,13,1,12,45,15,30,18,2,16,66,20,46,18,4,14,20,5,15,10,1,9,17,1,16,510,112,398,14,4,10,19,6,13,9,1,8,10,3,7,3,1,2,31,6,25,4,2,2,12,1,11,9,,9,19,2,17,9,1,8,8,2,6,4,,4,6,1,5,26,11,15,22,4,18,20,6,14,8,2,6,14,1,13,16,2,14
2018,6,3,3,14,1,13,16,5,11,17,3,14,43,7,36,16,4,12,45,10,35,9,,9,27,4,23,11,4,7,17,6,11,549,141,408,27,8,19,21,5,16,12,2,10,8,1,7,5,1,4,31,5,26,6,2,4,11,3,8,17,3,14,24,7,17,9,4,5,13,2,11,10,6,4,11,3,8,27,13,14,28,9,19,16,3,13,13,3,10,25,8,17,14,6,8
2019,7,2,5,13,4,9,14,1,13,20,5,15,45,6,39,15,2,13,58,12,46,17,4,13,31,7,24,8,4,4,18,3,15,546,122,424,23,2,21,21,4,17,1,,1,5,,5,4,,4,35,10,25,4,,4,18,4,14,13,3,10,21,5,16,2,1,1,13,4,9,7,2,5,11,3,8,39,17,22,27,7,20,10,1,9,10,3,7,23,3,20,13,3,10
2020,13,1,12,16,6,10,15,4,11,13,4,9,35,10,25,17,6,11,62,17,45,8,2,6,19,4,15,5,3,2,25,5,20,517,142,375,22,7,15,22,10,12,5,1,4,21,6,15,3,1,2,15,6,9,6,,6,16,6,10,16,3,13,16,3,13,11,2,9,11,3,8,8,4,4,13,5,8,31,6,25,25,4,21,11,2,9,7,1,6,14,5,9,16,5,11
2021,6,2,4,6,1,5,12,6,6,6,,6,48,13,35,21,8,13,71,17,54,14,4,10,17,5,12,9,1,8,20,3,17,519,113,406,22,6,16,27,6,21,2,,2,8,,8,3,1,2,22,7,15,8,1,7,24,4,20,7,1,6,20,4,16,7,2,5,6,,6,14,1,13,9,,9,25,4,21,13,2,11,20,1,19,11,3,8,29,8,21,12,2,10
2022,4,1,3,16,2,14,22,5,17,9,2,7,43,8,35,15,3,12,37,8,29,12,5,7,22,3,19,10,5,5,22,4,18,500,111,389,16,4,12,30,4,26,3,1,2,4,1,3,,,,20,8,12,2,1,1,25,10,15,17,1,16,21,3,18,5,,5,15,1,14,9,3,6,14,1,13,17,7,10,12,2,10,17,3,14,12,4,8,29,8,21,20,3,17
